client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,perceived_position_error,cpu_percent
6,576,576,1766560298983,1766560299004,21,4.9,0,46.5
6,577,577,1766560299039,1766560299046,17,5.21,0,84.6
6,578,578,1766560299101,1766560299101,6,5.19,0,41.7
6,579,579,1766560299152,1766560299152,4,4.77,0,15.2
6,580,580,1766560299203,1766560299203,2,4.39,0,15.6
6,581,581,1766560299254,1766560299254,2,4.05,0,20.0
6,582,582,1766560299305,1766560299305,1,3.75,0,25.0
6,583,583,1766560299356,1766560299357,17,3.57,0,12.7
6,584,584,1766560299407,1766560299408,16,3.32,0,10.3
6,585,585,1766560299458,1766560299458,14,2.98,0,10.2
6,586,586,1766560299510,1766560299511,11,2.99,0,12.2
6,587,587,1766560299562,1766560299562,8,2.79,0,33.3
6,588,588,1766560299613,1766560299614,4,2.71,0,14.3
6,589,589,1766560299665,1766560299665,2,2.54,0,12.0
6,590,590,1766560299717,1766560299717,1,2.48,0,23.1
6,591,591,1766560299768,1766560299768,15,2.34,0,24.6
6,592,592,1766560299819,1766560299819,12,2.2,0,23.2
6,593,593,1766560299870,1766560299870,13,2.08,0,27.9
6,594,594,1766560299920,1766560299921,13,1.97,0,14.6
6,595,595,1766560299972,1766560299972,9,1.88,0,25.6
6,596,596,1766560300023,1766560300023,9,1.79,0,18.9
6,597,597,1766560300074,1766560300074,9,1.71,0,28.3
6,598,598,1766560300125,1766560300126,9,1.74,0,32.4
6,599,599,1766560300176,1766560300177,11,1.66,0,6.5
6,600,600,1766560300227,1766560300227,10,1.5,0,24.4
6,601,601,1766560300278,1766560300279,9,1.55,0,12.2
6,602,602,1766560300329,1766560300330,8,1.49,0,21.6
6,603,603,1766560300380,1766560300380,7,1.34,0,15.4
6,604,604,1766560300431,1766560300432,6,1.41,0,5.2
6,605,605,1766560300483,1766560300483,3,1.37,0,17.0
6,606,606,1766560300534,1766560300535,1,1.43,0,21.7
6,607,607,1766560300586,1766560300586,15,1.39,0,35.7
6,608,608,1766560300636,1766560300637,15,1.35,0,26.1
6,609,609,1766560300688,1766560300689,13,1.41,0,18.4
6,610,610,1766560300740,1766560300740,11,1.37,0,16.7
6,611,611,1766560300790,1766560300791,11,1.34,0,20.0
6,612,612,1766560300842,1766560300843,7,1.4,0,34.0
6,613,613,1766560300894,1766560300895,4,1.46,0,28.6
6,614,614,1766560300946,1766560300946,2,1.42,0,35.8
6,615,615,1766560300997,1766560300997,16,1.37,0,40.7
6,616,616,1766560301048,1766560301048,15,1.34,0,2.6
6,617,617,1766560301099,1766560301099,14,1.3,0,13.0
6,618,618,1766560301153,1766560301154,9,1.67,0,19.0
6,619,619,1766560301205,1766560301206,8,1.71,0,32.7
6,620,620,1766560301323,1766560301323,7,8.24,0,16.8
6,621,621,1766560301374,1766560301374,4,7.51,0,31.0
6,622,622,1766560301425,1766560301425,3,6.86,0,25.8
6,623,623,1766560301476,1766560301476,2,6.27,0,16.3
6,624,624,1766560301527,1766560301528,3,5.85,0,18.0
6,625,625,1766560301579,1766560301579,1,5.36,0,29.6
6,626,626,1766560301630,1766560301630,1,4.93,0,54.8
6,627,627,1766560301681,1766560301682,17,4.63,0,18.4
6,628,628,1766560301733,1766560301734,14,4.37,0,52.1
6,629,629,1766560301785,1766560301786,10,4.13,0,37.5
