client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,perceived_position_error,cpu_percent
5,247,247,1766560370197,1766560370197,12,1.18,0,27.1
5,248,248,1766560370248,1766560370248,11,1.16,0,31.6
5,249,249,1766560370299,1766560370300,12,1.25,0,17.6
5,250,250,1766560370351,1766560370351,9,1.22,0,19.5
5,251,251,1766560370403,1766560370403,6,1.3,0,31.8
5,252,252,1766560370453,1766560370454,6,1.27,0,19.3
5,253,253,1766560370507,1766560370507,3,1.44,0,40.0
5,254,254,1766560370559,1766560370560,2,1.6,0,9.5
5,255,255,1766560370611,1766560370611,16,1.54,0,9.5
5,256,256,1766560370662,1766560370662,14,1.48,0,16.3
5,257,257,1766560370712,1766560370713,14,1.44,0,33.3
5,258,258,1766560370763,1766560370763,14,1.29,0,17.0
5,259,259,1766560370815,1766560370816,11,1.46,0,25.6
5,260,260,1766560370866,1766560370866,11,1.32,0,32.5
5,261,261,1766560370917,1766560370917,9,1.29,0,13.6
5,262,262,1766560370968,1766560370968,8,1.26,0,14.3
5,263,263,1766560371019,1766560371019,7,1.23,0,8.7
5,264,264,1766560371070,1766560371070,6,1.21,0,17.1
5,265,265,1766560371121,1766560371121,4,1.19,0,7.7
5,266,266,1766560371172,1766560371173,5,1.27,0,4.4
5,267,267,1766560371223,1766560371223,3,1.14,0,8.6
5,268,268,1766560371275,1766560371275,2,1.23,0,8.2
5,269,269,1766560371326,1766560371332,17,1.8,0,14.3
5,270,270,1766560371378,1766560371378,15,2.02,0,17.8
5,271,271,1766560371429,1766560371429,14,1.92,0,5.4
5,272,272,1766560371480,1766560371480,12,1.83,0,6.1
5,273,273,1766560371531,1766560371532,12,1.85,0,22.8
5,274,274,1766560371583,1766560371584,12,1.86,0,45.3
5,275,275,1766560371636,1766560371636,10,1.88,0,15.4
5,276,276,1766560371687,1766560371687,10,1.79,0,17.5
5,277,277,1766560371738,1766560371738,6,1.71,0,15.2
5,278,278,1766560371788,1766560371789,6,1.64,0,4.5
5,279,279,1766560371839,1766560371839,4,1.47,0,8.5
5,280,280,1766560371890,1766560371890,2,1.43,0,16.3
5,281,281,1766560371941,1766560371941,2,1.38,0,12.2
5,282,282,1766560371992,1766560371992,1,1.35,0,17.5
5,283,283,1766560372042,1766560372043,16,1.31,0,11.3
5,284,284,1766560372098,1766560372099,11,1.78,0,14.5
5,285,285,1766560372150,1766560372150,10,1.7,0,7.1
5,286,286,1766560372201,1766560372201,8,1.63,0,10.4
5,287,287,1766560372252,1766560372252,7,1.57,0,6.1
5,288,288,1766560372303,1766560372304,6,1.61,0,6.8
5,289,289,1766560372355,1766560372355,6,1.55,0,4.7
5,290,290,1766560372406,1766560372406,4,1.5,0,14.0
5,291,291,1766560372457,1766560372457,1,1.45,0,11.8
5,292,292,1766560372508,1766560372508,2,1.4,0,14.5
5,293,293,1766560372559,1766560372560,17,1.46,0,10.0
5,294,294,1766560372611,1766560372611,16,1.42,0,3.1
5,295,295,1766560372662,1766560372662,14,1.37,0,48.9
